,Initial text,Corrupted text
119," Окаменела память, <BR> Крепка сама собой. ", Крепка сама собой. 
120,"Все будет, а меня не будет. ― <BR> Через неделю, через год… <BR> Меня не берегите, люди, <BR> Как вас никто не бережет. <BR> Как вы, и я не выше тлена. <BR> Я не давать тепла не мог. <BR> Как то сожженное полено. <BR> Угля сожженного комок. <BR> И счеты мы сведем едва ли. <BR> Я добывал из жизни свет, <BR> Но эту жизнь мне вы давали, <BR> А ничего дороже нет.","Все будет, а меня не будет. ― <BR> Но эту жизнь мне вы давали, <BR> Угля сожженного комок. <BR> Через неделю, через год… <BR> Как то сожженное полено. <BR> Я не давать тепла не мог. <BR> Как вы, и я не выше тлена. <BR> Я добывал из жизни свет, <BR> И счеты мы сведем едва ли. <BR> Меня не берегите, люди, <BR> А ничего дороже нет.<BR> Как вас никто не бережет. "
121," Прости, брат Александр!  И жить ты научися: <BR> Не силою своей ― душою ты гордися, <BR> Будь добр, как ты теперь, будь ласков и учтив, <BR> Ты денег не люби ― и будешь век счастлив! <BR> Прости, Нептунов сын!  Друг нежный и смиренный, <BR> Имей к добру всегда ты сердце откровенно, <BR> Коль чувства ты свои так чисты сбережешь, <BR> Ты друга и среди степей себе найдешь. <BR> Чувствительности часть бывает часто слезна, <BR> Глупец ее бранит, но всё она любезна! ","Но, сердце Не! Друга научися теперь гордися: <BR> Как денег александр― жить часть степей, <BR> Имей своей, она всегда среди, и душою любезна ты, <BR> Счастлив добру ты и― век свои чувства прости! <BR> Ты, Часто силою! Друг сбережешь бранит ты, <BR> Ты и будь себе брат добр так, <BR> Смиренный учтив не всё и ты чувствительности, <BR> Сын слезна и люби будь прости ты. <BR> Будешь глупец нептунов чисты ласков, <BR> Коль найдешь ее, к бывает откровенно нежный!"
122," На собраньях с этих лет ― <BR> Где же этак было? <BR> Ты забыла мой совет, <BR> Мой совет забыла. ","Лет совет забыла совет этих― <BR> Собраньях ты забыла мой? <BR> Было на где с, <BR> Же мой этак."
123," Не надейся, что живешь в двадцатом веке в Москве! <BR> Я пророк бесшабашный, но строгий, ― <BR> И от этого потока моей любви <BR> Ни в каком не спасешься ковчеге!"," Я пророк бесшабашный, но строгий, ― <BR> И от этого потока моей любви <BR> Ни в каком не спасешься ковчеге!"
124," Но, боже!  Прошлое забыть я должен ныне; <BR> С прошедшим порвано последнее звено! <BR> Я сам пришел сюда к таинственной пустыне, <BR> Где слово господа лишь бодрствует одно! <BR> Исчезни, сатана, перед лицом господним, <BR> Как исчезает дым от светлого огня, <BR> Скитайся там, внизу, по мрачным преисподним, <BR> А здесь виденьями не искушай меня!.. ","Боже, искушай! Звено но лишь лицом господним; <BR> К таинственной последнее дым по! <BR> Исчезает сатана виденьями как где перед я, <BR> Меня преисподним ныне господа порвано там! <BR> Исчезни, прошедшим, сюда забыть огня, <BR> Светлого прошлое пришел не здесь а, <BR> От внизу, бодрствует, пустыне должен сам, <BR> Мрачным одно с я скитайся слово!.."
125," Так вот и рождаются святые, <BR> Ненавидя жарче, чем любя, <BR> Ледяные волосы сухие <BR> Пальцами сухими теребя."," Так вот и рождаются святые, <BR> Ненавидя жарче, чем любя, <BR> Ледяные волосы сухие <BR> В большом красивом зале, "
126, О недороде огорода <BR> пекутся честные сердца. <BR> Мне не страшна запретность входа: <BR> собачья стража ― мне сестра. , Сама припомнила потом. <BR> пекутся честные сердца. <BR> Мне не страшна запретность входа: <BR> собачья стража ― мне сестра. 
127," И всё над ним летают в тишине <BR> Какие-то мучительные звуки: <BR> «Сережа, я больна… скорей ко мне!..» <BR> Она зовет, протягивает руки, ― <BR> Он это знает, чувствует во сне… <BR> В слезах проснется, смотрит: тьма ночная. <BR> И он один, и мучит мысль иная: "," И всё над ним летают в тишине <BR> Какие-то мучительные звуки: <BR> «Сережа, я больна… скорей ко мне!..» <BR> Она зовет, протягивает руки, ― <BR> Но Россия восхищенна, <BR> В слезах проснется, смотрит: тьма ночная. <BR> И он один, и мучит мысль иная: "
128,"Не то ― лунный кратер, не то ― колизей; не то ― <BR> где-то в горах. И человек в пальто <BR> беседует с человеком, сжимающим в пальцах посох. <BR> Неподалеку собачка ищет пожрать в отбросах. "," И легкой клятвою их легкость искушать!.. <BR> где-то в горах. И человек в пальто <BR> беседует с человеком, сжимающим в пальцах посох. <BR> Неподалеку собачка ищет пожрать в отбросах. "
129," По замкнутым дворам туземных нор, <BR> В святых пещерах молчаливых гор, "," В святых пещерах молчаливых гор, "
130," Католик рядом служит мессу, <BR> А я ― я брежу наяву: <BR> Там за волнами спит Одесса, <BR> Где утром поезд на Москву. ","На служит брежу я, <BR> Католик мессу― одесса волнами а: <BR> Там где утром наяву Москву, <BR> За спит я поезд Рядом."
131," Ласковый образ, являвшийся в детстве, <BR> Кроткая весть о кончине безбурной <BR> И о могиле-приюте от бедствий ― <BR> Там, где мой ангел склонился над урной. ","Приюте мой, и склонился бедствий, <BR> Урной весть кроткая ласковый являвшийся <BR> Над детстве безбурной- где от о― <BR> Кончине, образ там в могиле о ангел."
132," День целый с вами б я играла <BR> (Кто хочет, сердце разбери!) <BR> Как куклу, вас бы одевала, <BR> И раздевала, целовала <BR> И тискала бы вас, Тьерри. ","Раздевала и тискала вами вас день вас <BR>( Кто хочет, б я!) <BR> Играла с, разбери как одевала, <BR> Куклу бы, целый <BR> Сердце целовала бы и, Тьерри."
133," Капли крови ― священные бусы… <BR> Соберу тебя в песнях любви, <BR> И твои поцелуи ― укусы, <BR> И медвежие ласки твои. ","Твои тебя― любви в… <BR> Поцелуи твои и ласки священные, <BR> И бусы капли― песнях, <BR> Укусы крови соберу медвежие."
134,У боярина Ставра хоромы. <BR> Закрома у Ставра огромны. <BR> Проживает боярин в палате. <BR> А носит обноски-лапти. ,У боярина Ставра хоромы. <BR> Закрома у Ставра огромны. <BR> Они вмещают черноты. <BR> А носит обноски-лапти. 
135," Но слышу, бездомный скиталец, <BR> Погони далекую рысь, <BR> Как в далях шлагбаум свой палец <BR> Приподнял в холодную высь.","Слышу в, шлагбаум свой, <BR> Рысь бездомный в, <BR> Как скиталец далях приподнял далекую холодную <BR> Высь но погони палец."
136,"И я, как прежде, одинок. <BR> Иду ― бреду болотом топким. <BR> Меня обдует ветерок. <BR> Встречаю осень сердцем робким. ","Прежде я, ветерок одинок, осень. <BR> Болотом― меня сердцем как. <BR> Встречаю обдует бреду. <BR> Топким робким иду и."
137," Дух рогатый Карадага, <BR> Чародейностыо твоей <BR> Намагничена бумага, <BR> Все чернила летних дней, <BR> Все купальники русалок, <BR> Платья бабочек ночных, <BR> Раскладушки на верандах <BR> И ловушки водяных! ","Все намагничена Бабочек, <BR> И чернила <BR> Бумага ловушки, <BR> Водяных платья верандах летних, <BR> Чародейностыо раскладушки твоей, <BR> Ночных рогатый на, <BR> Все дух русалок <BR> Купальники карадага дней!"
138," Мальчиком или девочкой, кем бы он не был <BR> И до скольких бы он ни дожил лет, ― <BR> Я не хочу, чтоб от него тюрьмой закрыли небо <BR> Только за то, что он <BR> за мир! <BR> за правду <BR> за свет! "," Мальчиком или девочкой, кем бы он не был <BR> И до скольких бы он ни дожил лет, ― <BR> Я не хочу, чтоб от него тюрьмой закрыли небо <BR> за мир! <BR> за правду <BR> за свет! "
139," Снова очнулась. Шарит в прострации: <BR> Где облигации? ― Здесь облигации. <BR> Где он, Тот Свет, как хотелось, Нездешний? <BR> Тихо. Скворцы не поют, но скворешни… "," Снова очнулась. Шарит в прострации: <BR> Где облигации? ― Здесь облигации. <BR> И выйти не велит: <BR> Тихо. Скворцы не поют, но скворешни… "
140," Один он снова при луне, при гнёте <BR> незримых сил, диктующих озноб. <BR> О ужас! Вдруг ― не различимы: Гёте <BR> и вдохновенный мученик азов. "," Один он снова при луне, при гнёте <BR> О ужас! Вдруг ― не различимы: Гёте <BR> и вдохновенный мученик азов. "
141," За окном сугробы. <BR> На дворе темно. <BR> Может, мне до гроба <BR> Жить здесь суждено. ","Темно гроба дворе. <BR> Здесь суждено до. <BR> Окном, сугробы на может <BR> Жить мне за."
142," И тогда с коробкой шляпной, <BR> Как модистка синема, <BR> Настигала нас внезапно <BR> Настоящая зима. ","Настигала внезапно синема шляпной с, <BR> Зима нас коробкой, <BR> Модистка тогда и <BR> Как настоящая."
143," «Что же, старик? Погоди ― погадаю!» ― <BR> Ведьма ему. Пантелей: «Не желаю! "," «Что же, старик? Погоди ― погадаю!» ― "
144," Как и ты улыбаясь, немного встревожен, <BR> Полновесен, слегка неуклюж, <BR> Озираясь, в движеньях своих осторожен, <BR> За тобою садится твой муж. ","В встревожен осторожен и, муж движеньях, <BR> Твой, полновесен садится, <BR> Как, озираясь ты своих слегка, <BR> Неуклюж тобою за немного улыбаясь."
145," И был он истреблен тираном вечным ― Богом <BR> За то, что он восстал, за то, что он посмел <BR> За сказанной чертой, за роковым порогом <BR> Открыть иную даль и путь в Иной Предел!","За в и роковым посмел он― За <BR> Путь порогом, предел истреблен восстал, вечным иной, богом за открыть <BR> Он иную что, то сказанной за <BR> То тираном чертой что даль был Он И!"
146," Не поймет и не заметит <BR> Гордый взор иноплеменный, <BR> Что сквозит и тайно светит <BR> В наготе твоей смиренной. ","Тайно наготе заметит не и <BR> Сквозит гордый взор, <BR> Иноплеменный смиренной твоей светит и <BR> Поймет в не что."
147," Улыбнулась в ответ: ― Лоскутки твоих мяс <BR> Вмиг сползут, как румяна! <BR> Так болтая, сидим.  Входит к нам иисус, <BR> Весь скелет изумительно юный. "," Улыбнулась в ответ: ― Лоскутки твоих мяс <BR> Вмиг сползут, как румяна! <BR> Весь скелет изумительно юный. "
148," Не то чтоб этот окрик зычный, <BR> Нет, но особый жесткий тон, <BR> С каким начальники обычно <BR> Отказ роняют в телефон. ","С зычный обычно начальники но не, <BR> В, телефон окрик каким чтоб, <BR> Этот тон то особый <BR> Нет отказ роняют жесткий."
149," Прощай, Параша! Выключив часы <BR> здесь наверху, как истинный сиделец <BR> я забываю все твои красы, <BR> которым я отныне не владелец, <BR> и зрю вблизи полнощные Весы, <BR> под коими родился наш младенец."," здесь наверху, как истинный сиделец <BR> я забываю все твои красы, <BR> которым я отныне не владелец, <BR> и зрю вблизи полнощные Весы, <BR> под коими родился наш младенец."
150," У рыбака слишком женские груди. <BR> Где теперь скумбрия, где камбала? <BR> Старые люди, одесские люди <BR> На лежаке забивают козла. "," У рыбака слишком женские груди. <BR> Где теперь скумбрия, где камбала? <BR> Старые люди, одесские люди <BR> По жилам быстро льется кровь. "
151,"Мне сказали, что ты умерла <BR> Заодно с золотым листопадом <BR> И теперь, лучезарно светла, <BR> Правишь горним, неведомым градом. "," И с грустью увидал, когда остановился, <BR> Заодно с золотым листопадом <BR> И теперь, лучезарно светла, <BR> Правишь горним, неведомым градом. "
152," Ударь по всем прибасам, <BR> Душа моя!  <BR>  Я так хочу! <BR> С народом я плечо к плечу <BR> Стою… "," Ударь по всем прибасам, <BR> Душа моя!  <BR> В холодном блеске дня иль в пламени заката, <BR> С народом я плечо к плечу <BR> Стою… "
153," Темнеет.  Скоро будет ночь. <BR> Друг против друга мы сидим, <BR> Никто не может нам помочь, ― <BR> Страдаем оба и молчим.","Ночь. Может никто против. <BR> Темнеет оба мы не помочь, <BR> Скоро страдаем друг нам и,― <BR> Сидим будет молчим друга."
154," Вновь Коза на моем утвердилась крыльце. <BR> Сник хозяин ее одичавший. <BR> Спать ложилась Коза, и, созвучно Козе, <BR> сотрясался мой домик дощатый. ", Вновь Коза на моем утвердилась крыльце. <BR> Сник хозяин ее одичавший. <BR> сотрясался мой домик дощатый. 
155," На запах мяса и костей, <BR> Стократно съеденных!..  Живые, <BR> Наевшись этих новостей, <BR> Ещё и платят чаевые. ","Новостей живые стократно чаевые наевшись, <BR> Ещё запах!.. Костей, <BR> Этих на платят, <BR> И съеденных мяса и."
156," Не по-божески!  Что мы ― овцы, <BR> Раззевавшиеся в обед? <BR> Расставание ― по-каковски? <BR> Даже смысла такого нет, ","Даже не- расставание! Что в― обед, <BR> Мы по смысла? <BR> Божески― по- раззевавшиеся? <BR> Каковски овцы такого нет,"
157," И снова, сгибаясь, хохочет он: ― <BR> Я слышу, слышу конец! ― <BR> Сквозь душу и ночь прорастает бетон <BR> Над кровью шумит свинец!"," Я слышу, слышу конец! ― <BR> Сквозь душу и ночь прорастает бетон <BR> Над кровью шумит свинец!"
158," Где-то в шелковом шапокляке <BR> На эстраде пошляк острил. <BR> Где-то рявкнули гимн гуляки, <BR> Брякнув с лестницы без перил. <BR> Где-то стыло каленье в домнах. <BR> Где-то в жилах подземных руд, <BR> В поколенье детей бездомных <BR> Шел неслышный, как время, труд. "," Где-то в шелковом шапокляке <BR> На эстраде пошляк острил. <BR> Где-то рявкнули гимн гуляки, <BR>  Замер. <BR> Где-то стыло каленье в домнах. <BR> Где-то в жилах подземных руд, <BR> В поколенье детей бездомных <BR> Шел неслышный, как время, труд. "
159," Часы бегут…  Уже, быть может, близок час, <BR> Несущий приговор бездушного покоя… <BR> Покуда дух твой бодр и разум не погас, <BR> Храни ко злобам дня сочувствие живое. ","Твой храни… Живое, дух ко, злобам разум, <BR> Дня бездушного бегут может… <BR> Час и погас сочувствие бодр быть не уже, <BR> Часы приговор покоя покуда несущий близок."
160," Но для чего кометами я вас <BR> Назвал, глупец тупейший то поймет, <BR> И сам Башуцкий объяснит тотчас. <BR> Комета за собою хвост влечет; <BR> И это всеми признано у нас, <BR> Хотя ― что́ в нем, никто не разберет: <BR> За вами ж хвост оставленных мужьев, <BR> Вздыхателей и бедных женихов! "," Но для чего кометами я вас <BR> Назвал, глупец тупейший то поймет, <BR> Комета за собою хвост влечет; <BR> И это всеми признано у нас, <BR> Хотя ― что́ в нем, никто не разберет: <BR> За вами ж хвост оставленных мужьев, <BR> Вздыхателей и бедных женихов! "
161," Не Понтус, правилы нас должны подкрепить; <BR> За что?  за что я, князь, твои упреки внемлю? <BR> За то ли, что сестру в моем шатре приемлю? <BR> Давно ли связи нам запрещены родства? <BR> Родных любить велят законы естества. "," За то ли, что сестру в моем шатре приемлю? <BR> Родных любить велят законы естества. <BR> За что?  за что я, князь, твои упреки внемлю? <BR> Не Понтус, правилы нас должны подкрепить; <BR> Давно ли связи нам запрещены родства? "
162," Внесли жену в программу и семью, <BR> Чтоб я пошел путем отца и деда, <BR> Но с юных лет, чудак и непоседа, <BR> Не к быту я тянусь, а к бытию."," Чтоб я пошел путем отца и деда, <BR> Но с юных лет, чудак и непоседа, <BR> Не к быту я тянусь, а к бытию."
163, Здесь мои сестры под утренним бризом <BR> С купаленных свай обдирали улов <BR> И дома с лавровым листом и рисом <BR> Из мидий варили плов. , Здесь мои сестры под утренним бризом <BR> И дома с лавровым листом и рисом <BR> Из мидий варили плов. 
164," Вот на камне лежит, <BR> Бога целует, <BR> Жертву дарует, <BR> Поет, ворожит: "," Вот на камне лежит, <BR> плющом, глицинией обычной <BR> Жертву дарует, <BR> Поет, ворожит: "
165," Где ты! Вернись! Ответь! Где ты. Тебя не видно. <BR> Все сливается в снег и в белизну святую. <BR> Словно ангел ― крылом – ты и безумье ― слито, <BR> будто в пальцах своих легкий снежок пестую. <BR> Нет! Все тает ― тебя здесь не бывало вовсе. <BR> Просто всего лишь снег, мною не сбитый плотно. <BR> Просто здесь образ твой входит к безумью в гости. <BR> И отбегает вспять ― память всегда бесплотна. "," Все сливается в снег и в белизну святую. <BR> Нет! Все тает ― тебя здесь не бывало вовсе. <BR> Словно ангел ― крылом – ты и безумье ― слито, <BR> Просто всего лишь снег, мною не сбитый плотно. <BR> Где ты! Вернись! Ответь! Где ты. Тебя не видно. <BR> И отбегает вспять ― память всегда бесплотна. <BR> Просто здесь образ твой входит к безумью в гости. <BR> будто в пальцах своих легкий снежок пестую. "
166," Ах, либералы!  Вы теперь обречены <BR> Судьбой суровой быть козлами отпущенья. <BR> Я ― также либерал; но в чем мои вины? <BR> В чем прегрешенья? "," Ах, либералы!  Вы теперь обречены <BR> Судьбой суровой быть козлами отпущенья. <BR> Я ― также либерал; но в чем мои вины? <BR> двойной разворот, "
167," Счастливым страшный ― мне приятный, <BR> Уж мой последний близок час; <BR> Уже меня зовущий, внятный <BR> Я слышу алчной смерти глас. "," Счастливым страшный ― мне приятный, <BR> даже вкус и окраска воды), <BR> Уже меня зовущий, внятный <BR> Я слышу алчной смерти глас. "
168," Но нос суя любовно и сурово <BR> В случайный хлам бесштемпельных «грехов», <BR> Она читает вечером Баркова <BR> И с кучером храпит до петухов. "," Но нос суя любовно и сурово <BR> В случайный хлам бесштемпельных «грехов», <BR> Какое счастье ― расточать, беря <BR> И с кучером храпит до петухов. "
169," В ночной тиши ты кончил жизнь печали; <BR> О смерти той не мне бы забывать! <BR> В ту ночь два-три страдальца окружали <BR> Отжившего изгнанника кровать; <BR> Смолк вздох его, разгаданный едва ли; <BR> А там ждала и родина, и мать. "," В ночной тиши ты кончил жизнь печали; <BR> О смерти той не мне бы забывать! <BR> В ту ночь два-три страдальца окружали <BR> Отжившего изгнанника кровать; <BR> Смолк вздох его, разгаданный едва ли; "
170," И, добиваясь своего, <BR> К двум с десятью он не случайно <BR> В святую ночь беседы тайной <BR> Еще прибавил ― одного. "," И, добиваясь своего, <BR> К двум с десятью он не случайно <BR> В святую ночь беседы тайной <BR> на кpай cкалы глядят каменотеcы. "
171," Ну, двадцать пять сбавлю: оно дешевенько, <BR> Да надо тебе дать копейку нажить. ", Под солнцем мартовский простор ― <BR> Да надо тебе дать копейку нажить. 
172," При воскресном убывании заката <BR> вместе с первыми движениями смуты <BR> жизнь без повода по-своему крылата, <BR> если светится последние минуты.","Без минуты первыми последние <BR> светится с движениями если заката <BR> вместе крылата при убывании- смуты воскресном, <BR> жизнь своему по повода."
173," Гнали все меня в гостиную, <BR> Запирали в круглой спальне, <BR> Но и там я шум пасхальный <BR> Слышал через стенку длинную. ","Запирали круглой слышал шум я, <BR> Но все там пасхальный, <BR> Спальне в и гостиную длинную в <BR> Стенку гнали через меня."
174," А ветров рать <BR> Шумит над бором, <BR> А умирать ― <BR> Так под забором. ","Ветров а под <BR> Шумит а так, <BR> Умирать над― <BR> Забором рать бором."
175,"Эти грустные песни я где-то слыхал, <BR> Но не знаю я, где и когда… <BR> Свет мне чуждой зари надо мной догорал, <BR> За звездой зажигалась звезда. ","Мной где знаю надо не- догорал слыхал, <BR> Звезда чуждой песни эти, звездой грустные я… <BR> То свет я когда зари мне зажигалась, <BR> За где и но."
176," Как!  ― Неба сын Ты?  ― ужас, мрак <BR> Мои все пробегают кости! <BR> Ты Бог?  ― но Твой поруган зрак <BR> От человеческия злости! <BR> Окровавленны красоты! <BR> С злодеями на древе крестном <BR> Висишь в томленьи скорбном, смертном, <BR> Бледн, бездыханен, мертв!  ― Кто ж Ты? "," Окровавленны красоты! <BR> С злодеями на древе крестном <BR> Ты Бог?  ― но Твой поруган зрак <BR> Бледн, бездыханен, мертв!  ― Кто ж Ты? <BR> Как!  ― Неба сын Ты?  ― ужас, мрак <BR> Висишь в томленьи скорбном, смертном, <BR> Мои все пробегают кости! <BR> От человеческия злости! "
177," Она придет и скажет ― «гость красивый, <BR> Твой черный глаз красавицу пронзил. <BR> Болезнь тяжка, и будет справедливо, <BR> Чтоб тот, кто ранил, рану исцелил». "," Она придет и скажет ― «гость красивый, <BR> Болезнь тяжка, и будет справедливо, <BR> Чтоб тот, кто ранил, рану исцелил». "
178," Жизнь отходит назад <BR> дальше, чем это можно представить! <BR> Но одежда Орфея бела, <BR> как чеснок.  Шелестя и листая <BR> (между страницами памяти <BR>  чёрствые бабочки спят) <BR> шелестя и листая, <BR> на судей он бельмы уставит, <BR> свой невидящий","Бабочки как страницами <BR> это, свой можно чёрствые уставит! <BR> Жизнь дальше Между на, <BR> и листая. Чем невидящий спят <BR>( отходит он одежда <BR> чеснок судей шелестя) <BR> листая орфея назад, <BR> бела представить памяти но бельмы, <BR> и шелестя"
179," И много книг я прочитал, <BR> Но нет разгадки сна. <BR> Лишь знаю я, что руку жал <BR> Мне в детстве сатана. "," И много книг я прочитал, <BR> Но нет разгадки сна. <BR> Мне в детстве сатана. "
180," Играй со мной, двойник понурый, <BR> сиди, смотри на белый свет. <BR> Отверстой бездны неподкупной <BR> я слышу добродушный смех.","Свет слышу смех, мной смотри, <BR> со, двойник бездны на неподкупной. <BR> Сиди понурый отверстой <BR> я белый играй добродушный."
181," Десять дней потом напролет <BR> Вы качались на верхней полке. <BR> А в душе ― будто битый лед, <BR> Будто смерзшихся слез осколки. ","Душе на дней битый <BR> В слез потом десять напролет. <BR> Качались полке а― смерзшихся верхней лед, <BR> Будто вы осколки будто."
182,"Как много желтых снимков на Руси <BR> В такой простой и бережной оправе! <BR> И вдруг открылся мне <BR>  И поразил <BR> Сиротский смысл семейных фотографий: <BR> Огнем, враждой <BR>  Земля полным-полна, <BR> И близких всех душа не позабудет… ― <BR> Скажи, родимый, <BR>  Будет ли война? ― <BR> И я сказал: ― Наверное, не будет. <BR>  ― Дай Бог, дай Бог… <BR>  Ведь всем не угодишь, <BR> А от раздора пользы не прибудет… ― <BR> И вдруг опять: <BR>  ― Не будет, говоришь? <BR>  ― Нет, ― говорю, ― наверное, не будет. <BR>  ― Дай Бог, дай Бог… <BR>  И долго на меня <BR> Она смотрела, как глухонемая, <BR> И, головы седой не поднимая, <BR> Опять сидела тихо у огня. <BR> Что снилось ей?  <BR>  Весь этот белый свет, <BR> Быть может, встал пред нею в то мгновенье? <BR> Но я глухим бренчанием монет <BR> Прервал ее старинные виденья… ― <BR> Господь с тобой!  Мы денег не берем! <BR>  ― Что ж, ― говорю, ― желаю вам здоровья! <BR> За все добро расплатимся добром, <BR> За всю любовь расплатимся любовью…","Расплатимся здоровья не меня все Встал <BR> Белый на душа фотографий тихо тобой! <BR> Расплатимся бог желтых полным <BR> Ведь головы <BR> Я вдруг не поднимая: <BR> Как, огнем <BR> Нею близких- родимый, <BR> Говоришь и опять то дай что…― <BR> Я, вдруг, <BR> Будет полна угодишь?― <BR> На добром наверное:― Смотрела, всю весь. <BR>― Будет Земля, сказал Позабудет… <BR> Мы простой и открылся, <BR> Поразил дай и она и и…― <BR> Оправе в и: <BR>― Говорю семейных, желаю? <BR>― Ее,― может,― что, враждой всем. <BR>― Ли Снимков, быть Вам… <BR> У ж глухим за <BR> Раздора война, дай а, <BR> Говорю, этот снилось нет любовью, <BR> Старинные не будет мне и. <BR> Опять не с? <BR> Ей сидела пользы бог, <BR> Седой в, прибудет не долго огня смысл будет? <BR> Берем но от денег бережной <BR> Не виденья бренчанием руси…― <BR> Не скажи бог! Мгновенье свет глухонемая добро! <BR>― Пред всех,― дай,― прервал за любовь! <BR> И господь бог монет наверное, <BR> Такой как сиротский не много…"
183,"Шли дни. Уже из ложки ела ты. <BR> Вот звякнул зуб. Вот попка округлилась. <BR> Ты наливалась смыслом, ты бесилась, <BR> агукала средь вечной пустоты. ","Шли дни. Уже из ложки ела ты. <BR> Вот звякнул зуб. Вот попка округлилась. <BR> Ты наливалась смыслом, ты бесилась, "
184," Как в раковине ходит океан ― <BR> сердечный клапан времени, капкан <BR> на мягких лапах, чудище в мешке, <BR> сокровище в снотворном порошке, ― <BR> так в разум мой, в его скрипучий дом <BR> она идет с волшебным фонарем… "," Как в раковине ходит океан ― <BR> на мягких лапах, чудище в мешке, <BR> сокровище в снотворном порошке, ― <BR> так в разум мой, в его скрипучий дом <BR> она идет с волшебным фонарем… "
185,"О ты, при токах Иппокрены <BR> Парнасский сладостный певец, <BR> Друг Фалии и Мельпомены, <BR> Театра русского отец, <BR> Изобличитель злых пороков, <BR> Расин полночный, Сумароков!» <BR> Сравненьем веселясь словесности трудов, <BR> Успехов прежних в ней и нынешних плодов, <BR> Вчера с тобой, Привета, <BR> Сличали мы притом <BR> С бессмертным образцом <BR> Наш русский список Магомета, <BR> Который подарен Потемкина пером <BR> Без дальнего от муз совета. <BR> Итак, мы вспомним и об нем. <BR> Он в молодости мне бывал знаком. <BR> Способным одарен к поэзии умом, <BR> Он в выборе был тонок, нежен; <BR> С неутомимостью прилежен, <BR> Чрезмерно терпелив, <BR> Равно честолюбив; <BR> И если б на беду не сделался он знатным, <BR> То стихотворцем бы, конечно, был приятным. <BR> Он много начинал, <BR> Но мало окончал. <BR> Жан-Жаком он пленялся <BR> И нечто из его творений перевел; <BR> Как многие, против него вооружался, <BR> И так же мало в том успел, <BR> Затем, как видно, что достался <BR> Ему в бессмертии удел. <BR> Для автора сего он слога не имел. <BR> Он также начинал Руссову «Элоизу», <BR> Которую тогда ж за ним я кончил вслед. <BR> Валялась у меня она премного лет, <BR> Но дружеский совет <BR> Склонил, не в добрый час, пустить ее на свет <BR> И там в раздранную ее одели ризу. <BR> Издатель прежних всех лишил ее цветов. <BR> Бумаги пожалев он несколько листов, <BR> Отбросил разговор Жан-Жаков о романах; <BR> Он посвящение мое в ней утаил; <BR> Друзей моих стихи на перевод мой скрыл. <BR> Слыхал ли жадность кто такую и в цыганах, <BR> Тогда как я издать три книги подарил?","Сего вооружался, пленялся ты Полночный <BR> Совет прежних на, <BR> Не Одарен способным Видно, <BR> Умом листов сладостный, <BR> Против всех с, <BR> Подарил у, Стихи!» <BR> На знатным притом кто, <BR> Друг мельпомены злых вспомним валялась знаком магомета, <BR> Сделался творений русского, И, <BR> Утаил привета жаком <BR> О я затем <BR> При бы если Терпелив, <BR> Он дальнего Как нежен <BR> Много конечно его так ним. <BR> Нечто, успел добрый он автора сравненьем. <BR> За жан и беду одели лишил. <BR> Об молодости он прежних совета, <BR> Честолюбив о жаков цветов он, премного; <BR> Который к в, <BR> Том имел, <BR> Посвящение как; <BR> Меня издать с что с в лет ризу скрыл, <BR> И руссову в, жадность, ней начинал. <BR> Итак равно он, <BR> Плодов несколько бессмертии. <BR> Фалии- Нем свет он <BR> Нынешних элоизу и расин начинал подарен; <BR> Слыхал издатель, и которую и, <BR> Бывал друзей он отбросил приятным то раздранную, <BR> Вчера, от ее, слога как <BR> Стихотворцем веселясь тонок вслед. <BR> Словесности она мы список наш разговор такую. <BR> Театра многие я Перевод« Муз», <BR> В мы трудов он мое чрезмерно сличали он. <BR> Русский парнасский поэзии тобой тогда мне, <BR> Иппокрены мало окончал <BR> И, ли пустить в ж, образцом отец в романах <BR> Ему б дружеский же кончил склонил бессмертным. <BR> Книги ее достался токах мой но. <BR> Цыганах в сумароков выборе мало, <BR> Но пожалев В- Моих певец в; <BR> Для также бумаги жан прилежен него; <BR> Был там тогда ней неутомимостью час пороков. <BR> Из изобличитель потемкина на без пером удел ее, <BR> Был три перевел и не успехов не?"
186," Но наш герой наивно верит власти <BR> Рассудка; он ни разу не любил; <BR> С душою девственной и полной сил, <BR> Считал себя он неспособным к страсти. <BR> Не зная женщин, он о них судил <BR> С холодностью и с видом утомленным; <BR> Ему смешно: как можно быть влюбленным? "," Считал себя он неспособным к страсти. <BR> Рассудка; он ни разу не любил; <BR> Ему смешно: как можно быть влюбленным? <BR> С холодностью и с видом утомленным; <BR> С душою девственной и полной сил, <BR> Не зная женщин, он о них судил <BR> Но наш герой наивно верит власти "
