,Initial text,Corrupted text
69, Стволы прозрачно-серой чащи <BR> Мой путь весенний стерегут <BR> Да от столба к столбу летящий <BR> Упругий проволочный гуд. ,Конические прозрачно-серой дубрав <BR> Мой путь вегетативный стерегут <BR> Да от столба Подобно потолку летящий <BR> Упругий проволочный гуд.
70,"О Боже, я буду вникать в разуменье, <BR> Только выйти не дай из стен городка, <BR> Внимательно буду следить я сквозь окна, <BR> Узнаю я издали всех приближающихся <BR> И пред суетным гостем будет речь коротка <BR> И пред суетным гостем будем, други, молчать.","О Боже, я отработаю вникать в разуменье, <BR> Только выйти не дай из стен городка, <BR> Внимательно переделаю интриговать я падающую окна, <BR> Утаю я издали всех прерывающихся <BR> и неблагопри царственным гостем будет Сакцент коротка <BR> И пред косным пиар-менеджером будем, други, многословить"
71," Привык ли тот же господин, <BR> Возлюбленный фортуны лысой, <BR> Заняв все степени один, <BR> Валяться на софе с Лаисой, <BR> Красы лелеять и трепать, <BR> А нуждам царства не внимать, ― <BR> И все судьишки от примера <BR> Его же держатся манера; <BR> Всяк дома тешится с своей… <BR> И трись вкруг их секретарей. ","Привык ли безропотный же дворянин <BR> Возлюбленный фортуны лысой, <BR> Заняв все степени вчерашний <BR> Взмахивать на табуретом наступлением Лаисой, <BR> Красы лелеять и трепать, <BR> НО кризисам царства не внимать, ― <BR> И чудесные судьишки от примера <BR> Себе же держишься манера; <BR> Всяк дома удавится к своей… <BR> И как солярисы их совещаниях."
72," К чему терять мгновенья <BR> На ложные сомненья, <BR> На скуку размышленья? <BR> Целуй меня, целуй! <BR> Любви отдайся нежной <BR> И ласке безмятежной <BR> У этих звучных струй.","До нечему терять мгновенья <BR> На ложные сомненья, <BR> во раздраженность валенкиДутики <BR> Целуй меня, целуй! <BR> Любви отдайся простительной <BR> И экспансивности безмятежной <BR> У этих звучных противоточных."
73," Там ― одни пацаны.  А от кого рожают, <BR> знают лишь те, которые их сажают, <BR> либо ― никто, либо ― в углу иконы. <BR> И весною пахать выходят одни законы. ","Там Код одни пацаны. Е.а от кого расчитывают, <BR> знают лишь такие которые их сажают, <BR> следовательно возможность НИКОГО как ― в углу иконы. <BR> И весною куражиться выходят одни законы."
74,"Возвратясь из Африки далекой <BR> К берегам Италии родной, <BR> Шел Франциск в печали одинокой <BR> Меж скалами горною тропой. <BR> Там, в лазури утренней сияя, <BR> Ярче снега, ― посреди камней <BR> Обнаженных, ворковала стая <BR> Белокрылых нежных голубей. <BR> И сказал он, подойдя к подножью <BR> Этих гор, раздумием объят: <BR> «Если люди слушать не хотят, <BR> Пусть же внемлют птицы слову Божью!» <BR> И меж них он радостный стоял: <BR> Всех животных в простоте сердечной, <BR> Как детей одной природы вечной, <BR> Братьями и сестрами он звал. <BR>  «Сестры-птицы, мир да будет с вами!» ― <BR> Так он начал проповедь, и вдруг <BR> Всё затихло.  На земле рядами, <BR> Слушая, сидят они вокруг. <BR>  «Сестры птицы, громкими хвалами <BR> Вы должны с любовью без конца <BR> Каждый день благодарить Творца, ― <BR> Потому что радостно живете, <BR> Не сбирая с житницы плодов, <BR> Вы в полях не сеете, не жнете, <BR> А Господь под зеленью дубров <BR> Вас укрыл, заботится о пище, <BR> Он вам дал прекраснейший удел ― <BR> Светлый чистый воздух как жилище, <BR> Перьями, как ризою, одел! <BR> Вот за что весь день, лишь луч денницы <BR> Заблестит сквозь утреннюю мглу ― <BR> И до звезд вечерних, ― пойте, птицы, <BR> Пойте Богу вечную хвалу!» <BR> Он умолк, ― и голуби ликуют <BR> И, к нему головки протянув, <BR> Крыльями трепещут и воркуют, <BR> Смотрят в очи, открывая клюв. <BR> И один в лазури необъятной <BR> С этой стаей белых голубей <BR> Он меж ними ходит, благодатный, <BR> Как отец ― среди своих детей. <BR> Ризою касается смиренной <BR> Их головок ласковых.  Потом, <BR> Отпуская Божьих птиц, Блаженный <BR> Осенил с любовью их крестом. <BR> И взвилась ликующая стая, <BR> И следил он с радостным лицом <BR> Долго, долго, как она, блистая, <BR> Словно белый снег, под солнцем тая, <BR> Исчезала в небе голубом. ","Возвратясь из Африки далекой <BR> С. глубинам Italy родной, <BR> Проползал Калист в печали одинокой <BR> Меж скалами песчано-цементной тенью <BR> Почитай в лазури футурологической покряхтывая, <BR> Ярче пескоразбрасыватели, ГМВК посреди мириад <BR> Обнаженных, ворковала стая <BR> БелозерскБеломорскБелопольеБелорецкБельцыБендер-МеешурБендерыБергенБердБердичевБердскБердянскБережаныБерезникиБерезовыйБериславБерлинБиазаБийскБилибиноБильбаоБиржайБиробиджанБишкекБлаговещенкаБлаговещенскБобринецБобруйскБогдановичБогодуховБолнисиБологоеБолотноеБольшеречьеБомбейБоржомиБорзяБорисовБорисовкаБорисоглебскБориспольБоркум-ЭмденБоровичиБостонБразилиаБратскБременБремертонБремерхафенБрестБриндизиБрисбенБричаныБродыБрянскБугульмаБугурусланБудеБуденновскБузулукБуинскБуйБуйнакскБуэнос-АйресБыховВалгаВалдайВалмиераВалуйкиВаниноВанкаремВанкуверВаренаВасильковВаскнарваВатутиноВашингтонВеликие темпераментных голубей. <BR> Все сказал он, подойдя к подножью <BR> Задорных гор, покашливанием объят: <BR> «Если люди разбирать не хотят, <BR> Пусть тог внемлют птицы слову Божью!» <BR> И меж ней он радостный стоял: <BR> Всех животных см.в простоте вертеброгенной <BR> Или детей Забавной природы гибельной <BR> Братьями и сестрами он звал. <BR> «Сестры-птицы, Первобытный да будет к Тобою ― <BR> Предположим он начал проповедь, и вдруг <BR> Всё грянула. На земле решётками, <BR> Слушая, затыкаются немногие вокруг. <BR> «Сестры птицы, громкими хвалами <BR> Вы должны с любовью без полчаса <BR> девятый день благодарить Творцам uralpress.ru <BR> Потому все.В радостно живете, <BR> Не сбирая с житницы шишек <BR> Вы угодно.В полях не сеете, не жнете, <BR> А Господь под зеленью Черкунов <BR> тебя-то разгладил усердствует о фтору, <BR> Он Ему поставил наилучший удел ― <BR> Светлый чистый воздуховод по-моему квартиранту, <BR> колокольчиками красиво. киота, одел! <BR> Вот за что модераторский день, лишь луч денницы <BR> Топит мимо внутренную мглу имеют <BR> И до парсеков вечерних, 2014 приимите, птицы, <BR> Пойте Богу вечную клевету <BR> Он умолк, 13 ҿ голуби ликуют <BR> И, Сну нему промежности перекатил, <BR> Крыльями обнимаются и воркуют, <BR> Приветствуют в очи, открывая роток <BR> И длиннейший в лазури невероятной <BR> .м. свинской тигрицей белых улетевших <BR> Он меж ними ходит, благодатный, <BR> 38как бизнесмен ― среди идейных детей. <BR> Ризою касается смиренной <BR> Нас головок ласковых. потихоньку <BR> Вытаскивая Божьих птиц, Блаженный <BR> Осенил За любовью ƾ крестом. <BR> И взвилась ликующая стая, <BR> Ахха следил он с неповторимым лицом <BR> Долго, безудержно по-моему спустившаяся, блистая, <BR> Словно белый снег, под солнцем тая, <BR> Выключила в грешном голубом."
75," Душа моя печальна и светла, <BR> И жалко мне моей старушки дряхлой. <BR> Священна жизнь, хотя бы то была <BR> Невидимая жизнь былинки чахлой. <BR> Мы любим, славя громкие дела, <BR> Чтоб от людей великих кровью пахло, ― <BR> Но подвиг есть и в серых скучных днях, <BR> В невидимых презренных мелочах. ","Клетка моя печальна ṩ светла, <BR> И жалко мне моей старушки дряхлой. <BR> Священна жизнь, Поскольку Я-бы то появилась <BR> Невидимая бытие былинки пунцовой. <BR> Ты любим, славя прискорбные авантюры <BR> Чтоб от людей великих кровью запачкался М <BR> что-ж подвиг используется и в серых скучных днях, <BR> В крошечных презренных мелочах."
76," Но звучит мне чей-то голос и зовет он в тишине: <BR> «Аввакумушка мой бедный, ты устал, приди ко мне!» ","Но звучит ему-то чей-то голос мультимедиа.4 зовет он в тишине: <BR> «Аввакумушка бесценный бедный, ты настроился приди ко ему-то"
77," Когда герои власть оружием теряют, <BR> Оружием себе ту власть и возвращают. <BR> Покорством получить я скиптра не хощу <BR> И милости себе в себе одном ищу. ","Скажем герои власть софтом теряют, <BR> Методами этом ту власть и привязывают <BR> Покорством получить я скиптра не умрети <BR> И милости себе в душе необычном ищу."
78, хороши челны только вмёрзли в лёд <BR> хороша пчела только горек мёд <BR> для того кто монах небольшого чина <BR> а дорога превратная и долга <BR> за слепым окошком бегут снега <BR> и саднит душа и чадит лучина,хороши челны поэтому-то вмёрзли в лёд <BR> годилась Пуночка Получается горек мёд <BR> для предопределенного реально-то духовидец рыхлого чина <BR> а дорога превратная уходДом долга <BR> ними- слепым окошком бегут снега <BR> и саднит душа те чадит лучина
79," (как рентген, по словам Вознесенского) зырил <BR> человечный герой «Лонжюмо». <BR> Из Москвы возвращались с колбаской и сыром, <BR> с апельсинами ― даже зимой. ","(как рентген, по несмотря Вознесенского) видос <BR> человечный герой Перонне <BR> Из Москвы возвращались с колбаской и сыром, <BR> За апельсинами Здесь получается.Но ХОЛОДНО"
80," Но всё равно.  Кончаю эту повесть. <BR> Я говорил ― подсказывала совесть. <BR> Вы поняли, как жил я на земле, <BR> Вы поняли, что я сижу во мгле <BR> За весь обман, которым я себя <BR> Оправдывал.  И за высокий дар, <BR> Мне посланный, среди других, любя. <BR> И вот ― я сделал из него кошмар. ","Но всё равно. Скупо эту повесть. <BR> Ооой говорил uralpress.ru подсказывала европейскость. <BR> Вы поняли, скорее жил я на земле, <BR> Продемонстрируете поняли, фактом я сижу во пропастях <BR> со весь обман, которым годаЯ него.Так <BR> Предвидел. И − высокий благословения <BR> Мне посланный, среди других, безответно <BR> И вот ― я сделал ых него кошмар."
81," Положим, я такая редкость, <BR> Но нужно прежде дело дать. ","Положим, я такая редкость, <BR> Всегда.а Понадобилось прежде обвиняемое дать."
82," Так-то так, да не на двое бабушка скажет: ― <BR> На моём на веку ― только горе вдомёк. <BR> Всё косила разбоя плечистая сажень: <BR> и хоромы, и храмы, и души, милок. ","Так-то Равно да не на полиционеры бабушка скажет: ― <BR> На соседнем на веку .. отчасти горе вдомёк. <BR> Всё косила садизма плечистая сажень: <BR> и хоромы, ТАк храмы, и здоровья пидарок."
83,"Был час, когда сквозь дым душистый <BR> Сигар, меж фруктов, на столе, <BR> Под лампой блещет золотистый <BR> Ликер в граненом хрустале, <BR> Когда, минут не тратя даром, <BR> Сидит за третьим самоваром <BR> Чиновник бедный на Песках, <BR> Зовет соперников для винта <BR> Хозяин с картами в руках, <BR> Когда в проходах лабиринта <BR> У мрачных театральных касс <BR> Шумит толпа и блещет газ. ","Был час, Так сквозь никотин душистый <BR> Сигар, неравнозначных фруктов, на столе, <BR> Под лампой гонится золотистый <BR> Ликер в граненом хрустале, <BR> Насколько, минут не доплачивая впридачу <BR> Сидит за третьим самоваром <BR> Чиновник догадливый САМОМ Подпорожском, <BR> Зовет вольников для винта <BR> Хозяин с менюшками Втом кулачке <BR> Подозреваю в проходах времени-пространства <BR> У угольно-черных музейных касс <BR> Шумит толпа и блещет трубопроводы."
84," Приблизились вместе, и тесно уже <BR> калошам, заплатам, прорехам. <BR> Мне двести одиннадцатый по душе ― <BR> как будто в нем Питер приехал. ","перемахнули вместе, и-за тесно уже <BR> калошам, заплатам, прорехам. <BR> Мне семи 36-й по душе ― <BR> Однако будто в воспринимающем Питер приехал."
85," Тру глаза, как бы спросонок. <BR> Неужели я не сплю? <BR> Неужели, как ребенок, <BR> я былое вновь люблю? ","Макдо глаза, Притом бы спросонок. <BR> Неужели я не проспишь? <BR> Неужели, непонятно- малышковый, <BR> я былое вновь люблю?"
86," Нет, скажу я, останься волной ― <BR> Друг на друга мы с пеньем нахлынем! <BR> Будь со мною ― и только со мной! ― <BR> Но сверкай одиночеством синим. ","Нет, воздержусь я, останься волной ― <BR> Дарольда на другаго мы к пеньем нахлынем! <BR> Будь между отвергнутом ― и только За мной! ― <BR> Но сверкай одиночеством свинцовым"
87," А кто, любезный друг, велит тебе быть праздным? <BR> В полк, эскадрон дадут.  Ты обер или штаб? ","А кто, Уважаемый друг, велит тебе быть праздным? <BR> В полк, штаб переберут. Ты обер Возможно Штаб-квартиру?"
88, И вот его в безбрежность унесло. <BR> На фоне неба бледнозолотистом <BR> вдруг облако туманное взошло <BR> и запылало ярким аметистом.,И вот его в безбрежность унесло. <BR> во фоне лета бледнозолотистом <BR> Ненароком стратосферу впечатлительное прыгнуло <BR> и запылало ярким аметистом.
89,"Дело неизвестно в чем ― <BR> Люди, и любовь, и годы, <BR> В океане под дождем <BR> Проплывают пароходы… ","Дело неизвестно в чем ― <BR> Компьютерщики, и любви-то, То годы, <BR> Общества.в океане под непогоду <BR> Проплывают пароходы…"
90,"  «Мой друг Петрункевич!  ― сказал Трубецкой. <BR> Нас царь околпачил прескверно, <BR> И земцы и думцы смущенной толпой <BR> Нас встретят укором, наверно. ",«Мой друг Петрункевич! ― сказал Трубецкой. <BR> кого-то царь околпачил раздумчиво <BR> и земцы ТАк думцы смущенной толпой <BR> Нас встретят поношением кажецца.
91," Судьбой иль промыслом влекомы <BR> Се царства к участи своей, <BR> Взаимно мещут грозны громы <BR> Среди Нептуновых зыбей. <BR> Волна с волной, гора с горою <BR> Сражаются покрыты мглою; <BR> Но мирна мать российских стран <BR> Их жребий мудро измеряет <BR> И правды на весах равняет <BR> Смущенный бранью океан. ","Судьбой иль картографированием игнорированы <BR> Се воцарения к разработке своей, <BR> Понимающе мещут монументальны громы <BR> Среди Нептуновых зыбей. <BR> Волна 14С волной, гора с горою <BR> Сражаются покрыты мглою; <BR> Но мирна родина-мать антипутинских госбюджетов <BR> Их жребий мудро обнаружит <BR> и несообразностей на заменителях равняет <BR> Темноволосый бранью океан."
92," Улыбкой вечной рот оскалив, <BR> Он сам не знает, как близка <BR> Его смеющейся печали <BR> Моя веселая тоска. ","сердечностью вечной полпальца оскалив, <BR> Он сам не знает, однако ценна <BR> Его смеющейся печали <BR> Великая веселая тоска."
93," Один громадами стесняет рыб и давит, <BR> Казною пропасти бутит <BR> И на зыбях чертоги ставит ― <BR> Но где он от забот, печали будет скрыт? ","Бессменный громадами журит толстолобика и давит, <BR> Деревянной пропасти бутит <BR> И на ценойСравнитьУбратьДиагональ чертоги вытягивает ― <BR> При где он от забот, печали будет скрыт?"
94,"Егор Петрович Мальцев <BR> Хворает, и всерьез: <BR> Уходит жизнь из пальцев, <BR> Уходит из желез, ","Егор Петрович Мальцев <BR> Хворает, и всерьез: <BR> Уходит размерена из сухожилия, <BR> Уходит По гиперпластических,"
95,"Была звана в Милан или в Париж ― <BR> уже не помню. Краткий Баден ― Баден <BR> мне предстоял. ― Эй, что ты говоришь? ― <BR> вскричал далёкий отрицатель басен. ","Была звана из Милан или Санкт-ПетербургеРестораны Прованс ― <BR> зачем-то не помню. Краткий Баден глаза Баден <BR> мне скрасил. ― Эй, что ты говоришь? ― <BR> изумляется Парадоксальный негативным басен."
96,"Здесь яблоком играют дети <BR> И ветер дует на песок, <BR> Проходит вечер, как столетье ― <BR> Неповторимый и высокий. <BR> Не болтовня соседских ставень, <BR> Не кашель семечек в тени: ― <BR> Пустое тело дым оставит <BR> И этот вечер осени. ","Здесь гнилым играют дети <BR> И ветер дует на песок, <BR> Проходит коктельчик, как прикосновенье ― <BR> Неповторимая и невидный <BR> Не сотрясание соседских ставень, <BR> Не диспептический семечек Федерации.В тени: исследования <BR> Пустое тело дым поскупится <BR> и этот отшумел осени."
97," И меня пугает равнодушье. <BR> Это даже не былая боль, <BR> А над пестрым ворохом игрушек <BR> Звездная рождественская соль. ","И меня порабощает равнодушье. <BR> Это даже не магнетическая боль, <BR> З.ы. над желто-зеленым ворохом игрушек <BR> Крутая рождественская выпаривали."
98,"Однажды, под вечер, <BR> Проса пригоршню похитив тихонько в амбаре <BR> (С доброю целью не грех иногда и похитить!), <BR> Дева идет к ручейку, где встречать уж издавна <BR> Гуси-любимцы привыкли кормилицу-деву… <BR> Весело корм шелушат с алебастровых ручек <BR> Добрые птицы дворные и вздор благодарный возводят <BR> К деве прекрасной, как будто любуяся ею. <BR> Только один и не ест и приветливой ласки не ищет. <BR> Тщетно к нему простирая обильную кормом <BR> Длань, подзывает его изумленная дева: <BR> Он не подходит.  Вот она ближе к нему, а он дальше; <BR> Дева за ним ― он всё дальше… и странно <BR> Ей показалось, что́ сделалось с гусем?  «Постой же! ― <BR> Думает, ― я тебя так не оставлю, проказник; поймаю <BR> И за побег накажу ― накормлю хорошенько!» <BR> Просо за пазуху всыпав и платьице к верху поднявши <BR> (Был уже вечер, и небо обильно росилось), <BR> Ручки к нему простирает и ловит, как серна <BR> Вслед беглецу устремляясь и алые губки кусая, <BR> Полные милых упреков, в досаде.  И вот уж накрыла; <BR> Вот уж готова схватить, но опять непокорный <BR> Вырвался, снова отшибся далеко ― и снова, <BR> Стан распрямив серновидный, бежит утомленная дева. <BR> С версту и более так пробежала; но тщетны <BR> Были усилья красавицы, силы уж ей изменяют, <BR> Дух занимается ― хочет бежать и не может… <BR> Стала, кругом оглянулася.  Вправо окраина леса, <BR> Дальше пространная нива, покрытая рожью; налево… <BR>  «Боже!  какая картина!..»  И скромно потупила очи <BR> Робкая дева и в страхе дыханье удерживать стала… ","Посидев, под вечер, <BR> Особик пригоршню похитив тихонько в амбаре <BR> (С доброю исходной это-не грех иногда ТАк похитить!), <BR> Дева идет цивилизованному променаду знать встречать дюже издавна <BR> SchwarzОсциллографы самокритичны кормилицу-деву… <BR> Весело вискаса шелушат с алебастровых торцов <BR> Добрые пичужки зеленоградские и богохульный бездеятельный возводят <BR> К деве пикантной, как будто любуяся ЕЙ <BR> Теперь-то один и pmНе ест и приветливой соитию же ищет. <BR> Тщетно пО нему простирая чистейшую кормом <BR> Длань, подзывает Его-то Обессиленная мучительница <BR> Он не подходит. Именно она морознее 3-у нему, Ах. он нормально.И; <BR> Дева за ним ― онИ всё дальше… ТАк странно <BR> ОНа показалось, что́ сделалось с гусем? «Постой ЭТо ― <BR> Думает, 100 я тебя Понимаю не оставлю, проказник; распечатаю <BR> И за уголовник накажу ― накормлю помучившись! <BR> Зерну за пазуху Наливает нет-не платьице к верху выкатывая <BR> (Был уже вечер, и небо обильно росилось), <BR> Ручки пО нему простирает и обламывает раньше. серна <BR> Подобно беглецу устремляясь облегченно бело-синие губки потроша, <BR> Полные милых упреков, из предубеждению И вот уж накрыла; <BR> Вот уж обижена подгрести, нО опять непокорный <BR> Вырвался, снова прощёлкал далеко ― и снова, <BR> Северьян распрямив серновидный, бежит полусонная дева. <BR> С обойдешь ТАк более так пробежала; но взаимны <BR> Были движеньях снегурочки, силы уж ей изменяют, <BR> Ангел-Хранитель занимается ― хочет Сбегать и не может… <BR> Стала, рядком областьББогородчаныБолеховБурштынГГаличГороденкаДДелятинДолинаИИвано-ФранковскККалушКоломыяКосовЛЛанчинННадворнаяППавловкаПерегинскоеРРогатинССнятынТТлумачТысменицаЯЯмницаЯремчаККиевская Вправо окраина леса, <BR> Дальше пространная нива, ощетинившаяся рожью; диагонали <BR> «Боже! какая картина!..» Впрочем скромно потупила очи <BR> Робкая дева ВОт в азарте дыханье удерживать прессовала"
99," Ты воззвал к ним: «Вы забыли, кем вы были, что теперь! <BR> Как стада, в полях бродили, в чащу прятались, как зверь. ","Ты Молитесь к ним: «Вы запилили, кем вы упоминались что долго! <BR> Как стада, в полях бродили, из чащу прятались, как злостный."
100," Но много премудр сребролюбец Лаван, <BR> И жалость ему незнакома. <BR> Он думает: каждый простится обман <BR> Во славу Лаванова дома. <BR> И Лию незрячую твердой рукой <BR> Приводит к Иакову в брачный покой. ","Но много сообразителен сребролюбец Лаван, <BR> и жалость ему созвучна <BR> Он думает: каждый стерпит обман <BR> Её благосклонность Лаванова кладовки. <BR> И Лию незрячую твердой рукой <BR> Приводит к пастуху в Судьбоносный благосостояние"
101, В столовой же Шопен <BR> Дал тон иному: <BR> Там каждый «джентельмен» <BR> В ответ ревкому <BR> Внёс свой акцент презренья. <BR> Под звон баллады <BR> Там принято решенье <BR> На вкус Паллады. <BR> Помещик и эсер <BR> Находят вмиг <BR> Один для строгих мер <BR> Язык. ,В столовой 5я Эльснер <BR> Дал тон иному: <BR> Во-первых каждый пуританин <BR> во ответ ревкому <BR> Внёс стратегический акцент презренья. <BR> Под звон баллады <BR> Смотрите-ка формализовано решенье <BR> Quoteв вкус Ликомеда <BR> Помещик .ее эсер <BR> Уточняют вмиг <BR> Один инструмент строгих мер <BR> Французкий.
102," И казалось бы, убыток не велик-то, <BR> Связаны мы крепкою судьбой, <BR> Ну поди-ка разреши конфликты <BR> Трудные ― меж мною и тобой. ","И напомнившее Если-бы убыток не велик-то, <BR> Связаны мы стезею судьбой, <BR> Ну поди-ка разреши возникать <BR> Трудные после меж Евсеевым и тобой."
103," Ну, а вам, хоть вся жизнь с ним вместе, <BR> Все он кажется – как невесте… <BR> Может быть, потому так кажется, <BR> Что не с тихих дней, не с лазури ― <BR> Начиналась жизнь прямо с бури, <BR> Ну а в бурю узлы крепче вяжутся!","Тебя-то, а Вас хоть вся Жисть между ним совокупно, <BR> Все енго видно.И – как невесте… <BR> Может обеспечиваться Полагаешь так кажется, <BR> Что не с тихих дней, не введением лазури 9 <BR> Начиналась жизнь разумеется с бури, <BR> Фууух а в бурю узлы крепче вяжутся!"
104," На воле жить ― тяжеле и больней. <BR> Вот ― капельница надо мной склонилась. <BR> Я возлежу и думаю о ней, <BR> превозмогая леность и сонливость. ","На воле жить ― тяжеле гидро- примитивней <BR> Вот & ложечка надо мной последовала. <BR> Я засыпанному и думаю о ней, <BR> превозмогая леность Ћх сонливость."
105," И что такие потери, <BR> И что такая боль <BR> У настежь раскрытой двери <BR> В мир труда и воли? ","-ч что неистовые потери, <BR> И что такая сырость <BR> из настежь многогранной двери <BR> В мир недоиспользования и воли?"
106," Она была не суетлива, <BR> Не жестока, не холодна. <BR> Всего скорее справедлива <BR> Была, наверное, она.","Она была даже суетлива, <BR> Детей.не непобедима, не предприимчива <BR> Всего скорее справедлива <BR> Была, Поверьте, она."
107, Каких орудий против нас с тобой <BR> Не воздвигала темная эпоха? <BR> Глумленье над любимою мечтой <BR> И в алтаре ― ломанье скомороха! ,Каких орудий против нас с тобой <BR> так-не воздвигала темная эпоха? <BR> Гераньразмножение над любимою никчемностью <BR> Хы в статую Dumbbell ломанье скомороха!
108, Иван-да-Марья сам с собою спор <BR> Завел.  Над сыроежкой домовитой <BR> Смеялся добродушно мухомор. <BR> Я шел тропинкой золотом залитой;,Иван-да-Марья сам с тобою спор <BR> Завел. Вблизи сыроежкой домовитой <BR> Смеялся великодушно чурбан. <BR> Я шел тропинкой аквамарином образующейся;
109," Его не радует денница, <BR> Заря, смененная зарей: <BR> Ему грустна его темница, <BR> Свод неба душен голубой. ","Он ж радует лапушка, <BR> Заря, трансформируемая зарей: <BR> Ему жизненна его темница, <BR> Свод неба душен голубой."
110," Неедуча солодяга без прихлебки, <BR> Два же дела без третьего негожи, <BR> Третье ж дело – гуменная работа, <BR> Выжать рожь на черниговских пашнях, <BR> Волгу-матку разлить по бутылям, <BR> С питухов барыши загребая, <BR> С уха ж Стенькина славного кургана <BR> Сбить литую куяшную шапку, <BR> А с Москвы, боярыни вальяжной, <BR> Поснимать соболью пятишовку, <BR> Выплесть с кос подбрусник златотканный, <BR> Осыпные перстни с ручек сбросить. <BR> Напоследки ж мощи Маккавея <BR> Истолочь в чугунной полуступе, <BR> Пропустить труху через решета, <BR> И отсевком выбелить печища, <BR> А попов, игуменов московских <BR> Положить под мясо, под трепало ― <BR> Лоско ль будет черное мочало?!.. ","Артуркороткометражкакосмоскуклылавкрафтлеталкалюбовьмагияматрёшкимафиямертвецымистикамистоидмифологиямногопользовательскаямона мукаИнгредиентПшеничная путем покрытияОбратноЛаминатМассивная, <BR> Два же разбирательством без долгожданного лишни <BR> Смертное ж дело отношения гуменная работа, <BR> Выжать рожь на заречных пашнях, <BR> Волгу-матку разлить по бутылям, <BR> С хмырей барыши загребая, <BR> С уха ого Стенькина злосчастного Сергеевского <BR> Подхватить мелкодисперсную куяшную шапку, <BR> А увеличивающимся Москвы, карлицы вальяжной, <BR> Поснимать соболью пятишовку, <BR> Выплесть 00 кос CrossGMCAcadiaCanyonВнешняя златотканный, <BR> Осыпные перстни от резинок сбросить. <BR> Напоследки ж мощи Маккавея <BR> Истолочь в чугунной полуступе, <BR> Пропустить вражину через решета, <BR> и шкурник заретушировать печища, <BR> Т.п полицаев болярина московских <BR> Положить прогнув мясо, под трепало ― <BR> Лоско ль будет черное румяное?!.."
111," А лечил как успешно! <BR> Звали Ершика всюду; <BR> Ездил к барам неспешно, <BR> К мужику ― в ту ж минуту. <BR> Нипочем темень ночи, <BR> Нипочем непогода. <BR> Бог открыл ему очи <BR> На страданья народа. <BR> Дало им его земство <BR> , Но он с ним поругался: <BR> Без мундира просторней. <BR> Без оклада честнее; <BR> Человека задорней, <BR> Человека прямее <BR> Не видал я…","---я шаманил как успешно! <BR> Звали Ершика куда-нибудь <BR> Ездил Подобно барам неспешно, <BR> Зелёному мужику ― города.В щуюся ж минуту. <BR> Нипочем темень ночи, <BR> Нипочем многоснежная. <BR> сатан открыл кому очи <BR> На сладостной народа. <BR> Дало преградить его земство <BR> 2016 Но он с ним поделил: <BR> Перенесение кавалера просторней. <BR> Без веретничества честнее; <BR> Клоуна задорней, <BR> Человека прямее <BR> Не сказывали Я-я"
112,"  «Арсений, видишь, я мертвею; <BR> Арсений, дашь ли мне ответ! <BR> Знаком ты с ревностию?..  Нет! <BR> Так ведай, я знакома с нею, <BR> Я к ней способна!  Встарину, <BR> Меж многих редкостей востока, <BR> Себе я выбрала одну… <BR> Вот перстень… с ним я выше рока! <BR> Арсений!  мне в защиту дан <BR> Могучий этот талисман; <BR> Знай, никакое злоключенье <BR> Меня при нем не устрашит. <BR> В глазах твоих недоуменье, <BR> Дивишься ты!  Он яд таит». ","«Арсений, видишь, я мертвею; <BR> Арсений, отвяжу ли прислали ответ! <BR> Знаком ты виниловым ревностию?.. НЕт <BR> Так ведай, я беседовала с стороною, <BR> Я к собой способна! Забылин <BR> Близ многих чудаков востока, <BR> Себе я замахнулась ярчайшую <BR> Вот кресало с ним ах. выше рока! <BR> Арсений! мне в оболочку дан <BR> Могучий маленький талисман; <BR> Знай, никакое происшествиеЧисло <BR> Кого-кого при нем не устрашит. <BR> В озлобленность самолюбивых Ничтожное, <BR> Дивишься ты! Он ёж содержат."
113,"Молодежь легковерна, <BR> Молодежь весела, ― <BR> В нигилизме, примерно, <BR> Недалеко ушла. <BR> Нигилизм ядовитый, <BR> Отрицания сок <BR> Выжал только маститый <BR> Нигилист-старичок. ","Молодежь сексапильна <BR> Мамка неподвижна, ― <BR> В нигилизме, примерно, <BR> .Вокруг переметнулась <BR> Сектантство обеднённый, <BR> Отрицания сок <BR> Выжал только маститый <BR> Нигилист-старичок."
