,Poem Text
53,"Современное

Флаги веют на Босфоре,
Пушки празднично гремят,
Небо ясно, блещет море,
И ликует Цареград.

И недаром он ликует:
На волшебных берегах
Ныне весело пирует
Благодушный падишах.

Угощает он на славу
Милых западных друзей ―
И свою бы всю державу
Заложил для них, ей-ей.

Из премудрого далека
Франкистанской их земли
Погулять на счет пророка
Все они сюда пришли.

Пушек гром и мусикия!
Здесь Европы всей привал,
Здесь все силы мировые
Свой справляют карнавал.

И при криках исступленных
Бойкий западный разгул
И в гаремах потаенных
Двери настежь распахнул.

Как в роскошной этой раме
Дивных гор и двух морей
Веселится об исламе
Христианский съезд князей!

И конца нет их приветам,
Обнимает брата брат…
О, каким отрадным светом
Звезды Запада горят!

И всех ярче и милее
Светит тут звезда одна,
Коронованная фея,
Рима дочь, его жена.

С пресловутого театра
Всех изяществ и затей,
Как вторая Клеопатра
В сонме царственных гостей,

На Восток она явилась,
Всем на радость, не на зло,
И пред нею всё склонилось:
Солнце с Запада взошло!

Только там, где тени бродят
По долинам и горам
И куда уж не доходят
Эти клики, этот гам, ―

Только там, где тени бродят,
Там, в ночи, из свежих ран
Кровью медленно исходят
Миллионы христиан…

Первая половина октября 1869"
54,"Чехам от московских славян

На ваши, братья, празднества,
Навстречу вашим ликованьям,
Навстречу вам идет Москва
С благоговейным упованьем.

В среду восторженных тревог,
В разгар великого волненья,
Приносит вам она залог,
Залог любви и единенья.

Примите же из рук ея
То, что и вашим прежде было,
Что старочешская семья
Такой ценой себе купила, ―

Такою страшною ценой,
Что память эта и поныне ―
И вашей лучшею святыней,
И вашей жизненной струей.

Примите Чашу! Вам звездой
В ночи судеб она светила
И вашу немощь возносила
Над человеческой средой.

О, вспомните, каким она
Была вам знаменьем любимым
И что в костре неугасимом
Она для вас обретена.

И этой-то великой мзды,
Отцов великих достоянья,
За все их тяжкие труды,
За все их жертвы и страданья,

Себя лишать даете вы
Иноплеменной дерзкой ложью,
Даете ей срамить, увы,
И честь отцов, и правду божью!

И долго ль, долго ль этот плен,
Из всех тягчайший, плен духовный,
Еще сносить ты осужден,
О чешский люд единокровный?

Нет, нет, недаром благодать
На вас призвали предки ваши,
И будет вам дано понять,
Что нет спасенья вам без Чаши.

Она лишь разрешит вконец
Загадку вашего народа:
В ней и духовная свобода,
И единения венец.

Придите ж к дивной Чаше сей,
Добытой лучшей вашей кровью,
Придите, приступите к ней
С надеждой, верой и любовью.

Около 24 августа 1869"
55,"Ю. Ф. Абазе

Так ― гармонических орудий
Власть беспредельна над душой,
И любят все живые люди
Язык их темный, но родной.

В них что-то стонет, что-то бьется,
Как в узах заключенный дух,
На волю просится и рвется
И хочет высказаться вслух…

Не то совсем при вашем пенье,
Не то мы чувствуем в себе:
Тут полнота освобожденья,
Конец и плену и борьбе…

Из тяжкой вырвавшись юдоли
И все оковы разреша,
На всей своей ликует воле
Освобожденная душа…

По всемогущему призыву
Свет отделяется от тьмы,
И мы не звуки ― душу живу,
В них вашу душу слышим мы.

22 декабря 1869"
56,"Мотив Гейне

Если смерть есть ночь, если жизнь есть день ―
Ах, умаял он, пестрый день, меня!..
И сгущается надо мною тень,
Ко сну клонится голова моя…

Обессиленный, отдаюсь ему…
Но всё грезится сквозь немую тьму ―
Где-то там, над ней, ясный день блестит
И незримый хор о любви гремит…

1868 или начало 1869"
57,"В небе тают облака,
И, лучистая на зное,
В искрах катится река,
Словно зеркало стальное…

Час от часу жар сильней,
Тень ушла к немым дубровам,
И с белеющих полей
Веет запахом медовым.

Чудный день! Пройдут века ―
Так же будут, в вечном строе,
Течь и искриться река
И поля дышать на зное.

2 августа 1868"
58,"Опять стою я над Невой,
И снова, как в былые годы,
Смотрю и я, как бы живой,
На эти дремлющие воды.

Нет искр в небесной синеве,
Все стихло в бледном обаянье,
Лишь по задумчивой Неве
Струится лунное сиянье.

Во сне ль всё это снится мне,
Или гляжу я в самом деле,
На что при этой же луне
С тобой живые мы глядели?

Июнь 1868"
59,"Печати русской доброхоты,
Как всеми вами, господа,
Тошнит ее ― но вот беда,
Что дело не дойдет до рвоты."
60,"Михаилу Петровичу Погодину

Стихов моих вот список безобразный, ―
Не заглянув в него, дарю им вас,
Не совладал с моею ленью праздной,
Чтобы она хоть вскользь им занялась…

В наш век стихи живут два-три мгновенья,
Родились утром, к вечеру умрут…
О чем же хлопотать? Рука забвенья
Как раз свершит свой корректурный труд.

Конец августа 1868"
61,"Памяти Е. П. Ковалевского

И вот в рядах отечественной рати
Опять не стало смелого бойца ―
Опять вздохнут о горестной утрате
Все честные, все русские сердца.

Душа живая, он необоримо
Всегда себе был верен и везде ―
Живое пламя, часто не без дыма
Горевшее в удушливой среде…

Но в правду верил он, и не смущался,
И с пошлостью боролся весь свой век,
Боролся ― и ни разу не поддался…
Он на Руси был редкий человек.

И не Руси одной по нем сгрустнется ―
Он дорог был и там, в земле чужой,
И там, где кровь так безотрадно льется,
Почтут его признательной слезой.

21 сентября 1868"
62,"Пожары

Широко, необозримо,
Грозной тучею сплошной,
Дым за дымом, бездна дыма
Тяготеет над землей.

Мертвый стелется кустарник,
Травы тлятся, не горят,
И сквозит на крае неба
Обожженных елей ряд.

На пожарище печальном
Нет ни искры, дым один, ―
Где ж огонь, злой истребитель,
Полномочный властелин?

Лишь украдкой, лишь местами,
Словно красный зверь какой,
Пробираясь меж кустами,
Пробежит огонь живой!

Но когда наступит сумрак,
Дым сольется с темнотой,
Он потешными огнями
Весь осветит лагерь свой.

Пред стихийной вражьей силой
Молча, руки опустя,
Человек стоит уныло ―
Беспомо́щное дитя.

16 июля 1868"
63,"Как ни тяжел последний час ―
Та непонятная для нас
Истома смертного страданья, ―
Но для души еще страшней
Следить, как вымирают в ней
Все лучшие воспоминанья…"
64,"Напрасный труд ― нет, их не вразумишь, ―
Чем либеральней, тем они пошлее,
Цивилизация ― для них фетиш,
Но недоступна им ее идея.

Как перед ней ни гнитесь, господа,
Вам не снискать признанья от Европы:
В ее глазах вы будете всегда
Не слуги просвещенья, а холопы.

Май 1867"
65,"Свершается заслуженная кара
За тяжкий грех, тысячелетний грех…
Не отвратить, не избежать удара ―
И правда божья видима для всех…

То божьей правды праведная кара,
И, ей в отпор чью помощь ни зови,
Свершится суд… и папская тиара
В последний раз купается в крови.

А ты, ее носитель неповинный, ―
Спаси тебя господь и отрезви, ―
Молись ему, чтобы твои седины
Не осквернились в пролитой крови.

27 октября 1867"
66,"<А. Д. Блудовой>

Как этого посмертного альбома
Мне дороги заветные листы,
Как всё на них так родственно-знакомо,
Как полно всё душевной теплоты!

Как этих строк сочувственная сила
Всего меня обвеяла былым!
Храм опустел, потух огонь кадила,
Но жертвенный еще курится дым.

1 марта 1867"
67,"Дым

Здесь некогда, могучий и прекрасный,
Шумел и зеленел волшебный лес, ―
Не лес, а целый мир разнообразный,
Исполненный видений и чудес.

Лучи сквозили, трепетали тени;
Не умолкал в деревьях птичий гам;
Мелькали в чаще быстрые олени,
И ловчий рог взывал по временам.

На перекрестках, с речью и приветом,
Навстречу нам, из полутьмы лесной,
Обвеянный каким-то чудным светом,
Знакомых лиц слетался целый рой.

Какая жизнь, какое обаянье,
Какой для чувств роскошный, светлый пир!
Нам чудились нездешние созданья,
Но близок был нам этот дивный мир.

И вот опять к таинственному лесу
Мы с прежнею любовью подошли.
Но где же он? Кто опустил завесу,
Спустил ее от неба до земли?

Что это? Призрак, чары ли какие?
Где мы? И верить ли глазам своим?
Здесь дым один, как пятая стихия,
Дым ― безотрадный, бесконечный дым!

Кой-где насквозь торчат по обнаженным
Пожарищам уродливые пни,
И бегают по сучьям обожженным
С зловещим треском белые огни…

Нет, это сон! Нет, ветерок повеет
И дымный призрак унесет с собой…
И вот опять наш лес зазеленеет,
Всё тот же лес, волшебный и родной.

25 апреля 1867"
68,"На юбилей князя А. М. Горчакова

В те дни кроваво-роковые,
Когда, прервав борьбу свою,
В ножны вложила меч Россия ―
Свой меч, иззубренный в бою, ―
Он волей призван был державной
Стоять на страже, ― и он стал,
И бой отважный, бой неравный
Один с Европой продолжал.

И вот двенадцать лет уж длится
Упорный поединок тот;
Иноплеменный мир дивится,
Одна лишь Русь его поймет.
Он первый угадал, в чем дело,
И им впервые русский дух
Союзной силой признан смело, ―
И вот венец его заслуг.

13 июня 1867"
69,"По прочтении депеш императорского кабинета, напечатанных в ""Journal de St. -Pétersbourg""

Когда свершится искупленье
И озарится вновь Восток, ―
О, как поймут тогда значенье
Великолепных этих строк!

Как первый яркий луч денницы,
Коснувшись, их воспламенит
И эти вещие страницы
Озолотит и освятит!

И в излиянье чувств народных,
Как божья чистая роса,
Племен признательно-свободных
На них затеплится слеза!

На них записана вся повесть
О том, что было и что есть;
Изобличив Европы совесть,
Они спасли России честь!

5 декабря 1867"
70,"Славянам

Man muß die Slaven an die Mauer drücken.

Они кричат, они грозятся:
""Вот к стенке мы славян прижмем!""
Ну, как бы им не оборваться
В задорном натиске своем!..

Да, стенка есть ― стена большая, ―
И вас не трудно к ней прижать.
Да польза-то для них какая?
Вот, вот что трудно угадать.

Ужасно та стена упруга,
Хоть и гранитная скала, ―
Шестую часть земного круга
Она давно уж обошла…

Ее не раз и штурмовали ―
Кой-где сорвали камня три,
Но напоследок отступали
С разбитым лбом богатыри…

Стоит она, как и стояла,
Твердыней смотрит боевой:
Она не то чтоб угрожала,
Но… каждый камень в ней живой…

Так пусть же бешеным напором
Теснят вас немцы и прижмут
К ее бойницам и затворам, ―
Посмотрим, что они возьмут!

Как ни бесись вражда слепая,
Как ни грози вам буйство их ―
Не выдаст вас стена родная,
Не оттолкнет она своих.

Она расступится пред вами
И как живой для вас оплот
Меж вами станет и врагами
И к ним поближе подойдет.

11―16 мая 1867"
71,"Славянам

Привет вам задушевный, братья,
Со всех Славянщины концов,
Привет наш всем вам, без изъятья!
Для всех семейный пир готов!
Недаром вас звала Россия
На праздник мира и любви;
Но знайте, гости дорогие,
Вы здесь не гости, вы ― свои!

Вы дома здесь, и больше дома,
Чем там, на родине своей, ―
Здесь, где господство незнакомо
Иноязыческих властей,
Здесь, где у власти и подда́нства
Один язык, один для всех,
И не считается Славянство
За тяжкий первородный грех!

Хотя враждебною судьбиной
И были мы разлучены,
Но всё же мы народ единый,
Единой матери сыны;
Но всё же братья мы родные!
Вот, вот что ненавидят в нас!
Вам не прощается Россия,
России ― не прощают вас!

Смущает их, и до испугу,
Что вся славянская семья
В лицо и недругу и другу
Впервые скажет: ""Это я!""
При неотступном вспоминанье
О длинной цепи злых обид
Славянское самосознанье,
Как божья кара, их страшит!

Давно на почве европейской,
Где ложь так пышно разрослась,
Давно наукой фарисейской
Двойная правда создалась:
Для них ― закон и равноправность,
Для нас ― насилье и обман,
И закрепила стародавность
Их как наследие славян.

И то, что длилося веками,
Не истощилось и поднесь
И тяготеет и над нами ―
Над нами, собранными здесь…
Еще болит от старых болей
Вся современная пора…
Не тронуто Косово поле,
Не срыта Белая Гора!

А между нас ― позор немалый
В славянской, всем родной среде,
Лишь тот ушел от их опалы
И не подвергся их вражде,
Кто для своих всегда и всюду
Злодеем был передовым:
Они лишь нашего Иуду
Честят лобзанием своим.

Опально-мировое племя,
Когда же будешь ты народ?
Когда же упразднится время
Твоей и розни и невзгод,
И грянет клич к объединенью,
И рухнет то, что делит нас?..
Мы ждем и верим провиденью ―
Ему известны день и час…

И эта вера в правду бога
Уж в нашей не умрет груди,
Хоть много жертв и горя много
Еще мы видим впереди…
Он жив ― верховный промыслитель,
И суд его не оскудел,
И слово Царь-освободитель
За русский выступит предел…

Начало мая 1867"
72,"Над Россией, распростертой
Встал внезапною грозой
Петр, по прозвищу четвертый,
Аракчеев же ― второй."
73,"В Риме

(С французского)

Средь Рима древнего сооружалось зданье ―
То Не́рон воздвигал дворец свой золотой.
Под самою дворца гранитною пятой
Былинка с кесарем вступила в состязанье:
""Не уступлю тебе, знай это, бог земной,
И ненавистное твое я сброшу бремя"".
― ""Как, мне не уступить? Мир гнется подо мной!""
― ""Весь мир тебе слуга, а мне слугою ― Время"".

Конец декабря 1866 ― начало января 1867"
74,"И в божьем мире то ж бывает,
И в мае снег идет порой,
А всё ж Весна не унывает
И говорит: ""Черед за мной!..

""
Бессильна, как она ни злися,
Несвоевременная дурь, ―
Метели, вьюги улеглися,
Уж близко время летних бурь.

11 мая 1866"
75,"Когда дряхлеющие силы
Нам начинают изменять
И мы должны, как старожилы,
Пришельцам новым место дать, ―

Спаси тогда нас, добрый гений,
От малодушных укоризн,
От клеветы, от озлоблений
На изменяющую жизнь;

От чувства затаенной злости
На обновляющийся мир,
Где новые садятся гости
За уготованный им пир;

От желчи горького сознанья,
Что нас поток уж не несет
И что другие есть призванья,
Другие вызваны вперед;

Ото всего, что тем задорней,
Чем глубже крылось с давних пор,
И старческой любви позорней
Сварливый старческий задор.

Начало сентября 1866"
76,"Когда расстроенный кредит
Не бьется кое-как,
А просто на мели сидит,
Сидит себе как рак, ―
Кто ж тут спасет, кто пособит?
Ну кто ж, коль не моряк.

3 июня 1866"
77,"Когда сочувственно на наше слово
Одна душа отозвалась ―
Не нужно нам возмездия иного,
Довольно с нас, довольно с нас…"
78,"На гробовой его покров
Мы, вместо всех венков, кладем слова простые:
Не много было б у него врагов,
Когда бы не твои, Россия."
79,"Небо бледно-голубое
Дышит светом и теплом
И приветствует Петрополь
Небывалым сентябрем.

Воздух, полный теплой влаги,
Зелень свежую поит
И торжественные флаги
Тихим веяньем струит.

Блеск горячий солнце сеет
Вдоль по невской глубине ―
Югом блещет, югом веет,
И живется как во сне.

Всё привольней, всё приветней
Умаляющийся день, ―
И согрета негой летней
Вечеров осенних тень.

Ночью тихо пламенеют
Разноцветные огни…
Очарованные ночи,
Очарованные дни.

Словно строгий чин природы
Уступил права свои
Духу жизни и свободы,
Вдохновениям любви.

Словно, ввек ненарушимый,
Был нарушен вечный строй
И любившей и любимой
Человеческой душой.

В этом ласковом сиянье,
В этом небе голубом
Есть улыбка, есть сознанье,
Есть сочувственный прием.

И святое умиленье
С благодатью чистых слез
К нам сошло как откровенье
И во всем отозвалось…

Небывалое доселе
Понял вещий наш народ,
И Дагмарина неделя
Перейдет из рода в род.

17 сентября 1866"
80,"Так! Он спасен! Иначе быть не может!
И чувство радости по Ру́си разлилось…
Но посреди молитв, средь благодарных слез
Мысль неотступная невольно сердце гложет:

Всё этим выстрелом, всё в нас оскорблено,
И оскорблению как будто нет исхода:
Легло, увы, легло позорное пятно
На всю историю российского народа!

4 апреля 1866"
81,"Тихо в озере струится
Отблеск кровель золотых,
Много в озеро глядится
Достославностей былых.
Жизнь играет, солнце греет,
Но под нею и под ним
Здесь былое чудно веет
Обаянием своим.

Солнце светит золотое,
Блещут озера струи…
Здесь великое былое
Словно дышит в забытьи;
Дремлет сладко-беззаботно,
Не смущая дивных снов
И тревогой мимолетной
Лебединых голосов…

Июль 1866"
82,"Ты долго ль будешь за туманом
Скрываться, Русская звезда,
Или оптическим обманом
Ты обличишься навсегда?

Ужель навстречу жадным взорам,
К тебе стремящимся в ночи,
Пустым и ложным метеором
Твои рассыплются лучи?

Всё гуще мрак, всё пуще горе,
Всё неминуемей беда ―
Взгляни, чей флаг там гибнет в море,
Проснись ― теперь иль никогда…

20 декабря 1866"
83,"Умом Россию не понять,
Аршином общим не измерить:
У ней особенная стать ―
В Россию можно только верить."
84,"Хотя б она сошла с лица земного,
В душе царей для правды есть приют.
Кто не слыхал торжественного слова?
Века векам его передают.

И что ж теперь? Увы, что видим мы?
Кто приютит, кто призрит гостью божью?
Ложь, злая ложь растлила все умы,
И целый мир стал воплощенной ложью!..

Опять Восток дымится свежей кровью,
Опять резня… повсюду вой и плач,
И снова прав пирующий палач,
А жертвы… преданы злословью!

О, этот век, воспитанный в крамолах,
Век без души, с озлобленным умом,
На площадях, в палатах, на престолах ―
Везде он правды личным стал врагом!

Но есть еще один приют державный,
Для правды есть один святой алтарь:
В твоей душе он, царь наш православный,
Наш благодушный, честный русский царь!

31 декабря 1866"
85,"Графине А. Д. Блудовой

Как жизнь ни сделалась скуднее,
Как ни пришлось нам уяснить
То, что нам с каждым днем яснее,
Что пережить ― не значит жить, ―
Во имя милого былого,
Во имя вашего отца
Дадим же мы друг другу слово:
Не изменяться до конца.

1 марта 1866"
86,"Князю Суворову

Два разнородные стремленья
В себе соединяешь ты:
Юродство без душеспасенья
И шутовство без остроты.

Сама природа, знать, хотела
Тебя устроить и обречь
На безответственное дело,
На безнаказанную речь.

Апрель 1866"
87,"На юбилей Н. М. Карамзина

Великий день Карамзина
Мы, поминая братской тризной,
Что скажем здесь перед отчизной,
На что б откликнулась она?

Какой хвалой благоговейной,
Каким сочувствием живым
Мы этот славный день почтим ―
Народный праздник и семейный?

Какой пошлем тебе привет ―
Тебе, наш добрый, чистый гений,
Средь колебаний и сомнений
Многотревожных этих лет?

При этой смеси безобразной
Бессильной правды, дерзкой лжи,
Так ненавистной для души
Высокой и ко благу страстной, ―

Души, какой твоя была,
Как здесь она еще боролась,
Но на призывный божий голос
Неудержимо к цели шла?

Мы скажем: будь нам путеводной,
Будь вдохновительной звездой ―
Свети в наш сумрак роковой,
Дух целомудренно-свободный,

Умевший всё совокупить
В ненарушимом, полном строе,
Всё человечески-благое,
И русским чувством закрепить, ―

Умевший, не сгибая выи
Пред обаянием венца,
Царю быть другом до конца
И верноподданным России…

30 ноября ― 1 декабря 1866"
88,"Бедный Лазарь, Ир убогой,
И с усильем и с тревогой
К вам пишу, с одра привстав,
И привет мой хромоногой
Окрылит пусть телеграф.

Пусть умчит его, играя,
В дивный, светлый угол тот,
Где весь день, не умолкая,
Словно буря дождевая
В купах зелени поет.

29 июня 1865"
89,"Есть телеграф за неименьем ног,
Неси он к вам мой стих полубольной.
Да сохранит вас милосердый бог
От всяких дрязг, волнений и тревог
И от бессонницы ночной.

28 июня 1865"
90,"Всё решено, и он спокоен,
Он, претерпевший до конца, ―
Знать, он пред богом был достоин
Другого, лучшего венца ―

Другого, лучшего наследства,
Наследства бога своего, ―
Он, наша радость с малолетства,
Он был не наш, он был его…

Но между ним и между нами
Есть связи естества сильней:
Со всеми русскими сердцами
Теперь он молится о ней, ―

О ней, чью горечь испытанья
Поймет, измерит только та,
Кто, освятив собой страданья,
Стояла, плача, у креста…

12 апреля 1865"
91,"Есть и в моем страдальческом застое
Часы и дни ужаснее других…
Их тяжкий гнет, их бремя роковое
Не выскажет, не выдержит мой стих.

Вдруг всё замрет. Слезам и умиленью
Нет доступа, всё пусто и темно,
Минувшее не веет легкой тенью,
А под землей, как труп, лежит оно.

Ах, и над ним в действительности ясной,
Но без любви, без солнечных лучей,
Такой же мир бездушный и бесстрастный,
Не знающий, не помнящий о ней.

И я один, с моей тупой тоскою,
Хочу сознать себя и не могу ―
Разбитый челн, заброшенный волною,
На безымянном диком берегу.

О господи, дай жгучего страданья
И мертвенность души моей рассей:
Ты взял ее, но муку вспоминанья,
Живую муку мне оставь по ней, ―

По ней, по ней, свой подвиг совершившей
Весь до конца в отчаянной борьбе,
Так пламенно, так горячо любившей
Наперекор и людям и судьбе, ―

По ней, по ней, судьбы не одолевшей,
Но и себя не давшей победить,
По ней, по ней, так до конца умевшей
Страдать, молиться, верить и любить.

Конец марта 1865"
92,"Как верно здравый смысл народа
Значенье слов определил:
Недаром, видно, от ""ухода""
Он вывел слово ""уходил""."
93,"Как неожиданно и ярко,
На влажной неба синеве,
Воздушная воздвиглась арка
В своем минутном торжестве!
Один конец в леса вонзила,
Другим за облака ушла ―
Она полнеба обхватила
И в высоте изнемогла.

О, в этом радужном виденье
Какая нега для очей!
Оно дано нам на мгновенье,
Лови его ― лови скорей!
Смотри ― оно уж побледнело,
Еще минута, две ― и что ж?
Ушло, как то уйдет всецело,
Чем ты и дышишь и живешь.

5 августа 1865"
94,"Как ни бесилося злоречье,
Как ни трудилося над ней,
Но этих глаз чистосердечье ―
Оно всех демонов сильней.

Всё в ней так искренно и мило,
Так все движенья хороши;
Ничто лазури не смутило
Ее безоблачной души.

К ней и пылинка не пристала
От глупых сплетней, злых речей;
И даже клевета не смяла
Воздушный шелк ее кудрей.

21 декабря 1865"
95,"Как хорошо ты, о море ночное, ―
Здесь лучезарно, там сизо-темно…
В лунном сиянии, словно живое,
Ходит, и дышит, и блещет оно…

На бесконечном, на вольном просторе
Блеск и движенье, грохот и гром…
Тусклым сияньем облитое море,
Как хорошо ты в безлюдье ночном!

Зыбь ты великая, зыбь ты морская,
Чей это праздник так празднуешь ты?
Волны несутся, гремя и сверкая,
Чуткие звезды глядят с высоты.

В этом волнении, в этом сиянье,
Весь, как во сне, я потерян стою ―
О, как охотно бы в их обаянье
Всю потопил бы я душу свою…

Январь 1865"
96,"Когда на то нет божьего согласья,
Как ни страдай она, любя, ―
Душа, увы, не выстрадает счастья,
Но может выстрадать себя…

Душа, душа, которая всецело
Одной заветной отдалась любви
И ей одной дышала и болела,
Господь тебя благослови!

Он, милосердный, всемогущий,
Он, греющий своим лучом
И пышный цвет, на воздухе цветущий,
И чистый перл на дне морском.

11 января 1865"
97,"Молчит сомнительно Восток,
Повсюду чуткое молчанье…
Что это? Сон иль ожиданье,
И близок день или далек?
Чуть-чуть белеет темя гор,
Еще в тумане лес и долы,
Спят города и дремлют селы,
Но к небу подымите взор…

Смотрите: полоса видна,
И, словно скрытной страстью рдея,
Она всё ярче, всё живее ―
Вся разгорается она ―
Еще минута, и во всей
Неизмеримости эфирной
Раздастся благовест всемирный
Победных солнечных лучей…

29 июля 1865"
98,"Нет дня, чтобы душа не ныла,
Не изнывала б о былом,
Искала слов, не находила,
И сохла, сохла с каждым днем, ―

Как тот, кто жгучею тоскою
Томился по краю родном
И вдруг узнал бы, что волною
Он схоронен на дне морском.

23 ноября 1865"
99,"Ночное небо так угрюмо,
Заволокло со всех сторон.
То не угроза и не дума,
То вялый, безотрадный сон.
Одни зарницы огневые,
Воспламеняясь чередой,
Как демоны глухонемые,
Ведут беседу меж собой.

Как по условленному знаку,
Вдруг неба вспыхнет полоса,
И быстро выступят из мраку
Поля и дальние леса.
И вот опять всё потемнело,
Всё стихло в чуткой темноте ―
Как бы таинственное дело
Решалось там ― на высоте.

18 августа 1865"
100,"Он, умирая, сомневался,
Зловещей думою томим…
Но бог недаром в нем сказался ―
Бог верен избранным своим…

Сто лет прошло в труде и горе ―
И вот, мужая с каждым днем,
Родная Речь уж на просторе
Поминки празднует по нем…

Уж не опутанная боле,
От прежних уз отрешена,
На всей своей разумной воле
Его приветствует она…

И мы, признательные внуки,
Его всем подвигам благим
Во имя Правды и Науки
Здесь память вечную гласим.

Да, велико его значенье ―
Он, верный Русскому уму,
Завоевал нам Просвещенье,
Не нас поработил ему, ―

Как тот борец ветхозаветный,
Который с Силой неземной
Боролся до звезды рассветной
И устоял в борьбе ночной.

Начало апреля 1865"
101,"Est in arundineis modulatio musica ripis.

Певучесть есть в морских волнах,
Гармония в стихийных спорах,
И стройный мусикийский шорох
Струится в зыбких камышах.

Невозмутимый строй во всем,
Созвучье полное в природе, ―
Лишь в нашей призрачной свободе
Разлад мы с нею сознаем.

Откуда, как разлад возник?
И отчего же в общем хоре
Душа не то поет, что, море,
И ропщет мыслящий тростник?

И от земли до крайних звезд
Всё безответен и поныне
Глас вопиющего в пустыне,
Души отчаянной протест?

11 мая 1865"
102,"Сегодня, друг, пятнадцать лет минуло
С того блаженно-рокового дня,
Как душу всю свою она вдохнула,
Как всю себя перелила в меня.

И вот уж год, без жалоб, без упреку,
Утратив всё, приветствую судьбу…
Быть до конца так страшно одиноку,
Как буду одинок в своем гробу.

15 июля 1865"
103,"Сын царский умирает в Ницце ―
И из него нам строят ков…
""То божья месть за поляко́в"", ―
Вот что мы слышим здесь, в столице…

Из чьих понятий, диких, узких,
То слово вырваться могло б?..
Кто говорит так: польский поп
Или министр какой из русских?

О, эти толки роковые,
Преступный лепет и шальной
Всех выродков земли родной,
Да не услышит их Россия, ―

И отповедью ― да не грянет
Тот страшный клич, что в старину:
""Везде измена ― царь в плену!"" ―
И Русь спасать его не встанет

8 ― 11 апреля 1865"
104,"Я не ценю красот природы,
Когда душа потрясена,
Когда свинцовая невзгода
Тмит бедный дух кошмаром сна.
Природы лучшие красо́ты
Меняют часто годы, дни…
Из нас поймет, пожалуй, сотый,
Что мы ей только и сродни.
Нет, преждевременная вялость
Ее не будит скорби в ней.
И нам в себе души усталость
Нести тяжеле и больней.
Природы воздух ядовитый
Нас отравляет не всегда:
Мы себялюбием повиты ―
И эта губит нас беда.

1865?"
105,"Другу моему Я. П. Полонскому

Нет боле искр живых на голос твой приветный ―
Во мне глухая ночь, и нет для ней утра́…
И скоро улетит ― во мраке незаметный ―
Последний, скудный дым с потухшего костра.

30 мая 1865"
106,"<Н. С. Акинфьевой>

Велели вы ― хоть, может быть, и в шутку
Я исполняю ваш приказ.
Тут места нет раздумью, ни рассудку,
И даже мудрость без ума от вас, ―

И даже он ― ваш дядя достославный, ―
Хоть всю Европу переспорить мог,
Но уступил и он в борьбе неравной
И присмирел у ваших ног…

5 июня 1865"
107,"Накануне годовщины 4 августа 1864 г.

Вот бреду я вдоль большой дороги
В тихом свете гаснущего дня…
Тяжело мне, замирают ноги…
Друг мой милый, видишь ли меня?

Всё темней, темнее над землею ―
Улетел последний отблеск дня…
Вот тот мир, где жили мы с тобою,
Ангел мой, ты видишь ли меня?

Завтра день молитвы и печали,
Завтра память рокового дня…
Ангел мой, где б души ни витали,
Ангел мой, ты видишь ли меня?

3 августа 1865"
108,"Ответ на адрес

Себя, друзья, морочите вы грубо ―
Велик с Россией ваш разлад.
Куда вам в члены Английских палат:
Вы просто члены Английского клуба…

Вторая половина января 1865"
109,"19-е февраля 1864

И тихими последними шагами
Он подошел к окну. День вечерел,
И чистыми, как благодать, лучами
На западе светился и горел.
И вспомнил он годину обновленья ―
Великий день, новозаветный день, ―
И на лице его от умиленья
Предсмертная вдруг озарилась тень.

Два образа, заветные, родные,
Что как святыню в сердце он носил,
Предстали перед ним ― царь и Россия,
И от души он их благословил.
Потом главой припал он к изголовью,
Последняя свершалася борьба, ―
И сам спаситель отпустил с любовью
Послушного и верного раба.

Между 19 и 21 февраля 1864"
110,"Encyclica

Был день, когда господней правды молот
Громил, дробил ветхозаветный храм
И, собственным мечом своим заколот,
В нем издыхал первосвященник сам.

Еще страшней, еще неумолимей
И в наши дни ― дни божьего суда ―
Свершится казнь в отступническом Риме
Над лженаместником Христа.

Столетья шли, ему прощалось много,
Кривые толки, темные дела,
Но не простится правдой бога
Его последняя хула…

Не от меча погибнет он земного,
Мечом земным владевший столько лет, ―
Его погубит роковое слово:
""Свобода совести есть бред!""

21 декабря 1864"
